342,CHOLAFIN,INE121A01024,1703.2,20
343,MONARCH,INE903D01011,316.6,20
344,SHARDAMOTR,INE597I01028,952.6,20
345,SETFNN50,INF200KA1598,740.56,6
346,SEQUENT,INE807F01027,239.62,20
347,M&M,INE101A01026,3716.7,10.96
348,UNOMINDA,INE405E01023,1298,20
349,LLOYDSENT,INE080I01025,60.57,21.97
350,JWL,INE209L01016,302.1,20
351,SHRIRAMFIN,INE721A01047,826.6,13.4
352,AWL,INE699H01024,276.75,20
353,HBLENGINE,INE292B01021,931.1,21.52
354,ELGIEQUIP,INE285A01027,507.55,20
355,SWIGGY,INE00H001014,395.5,20
356,ATLANTAELE,INE0Z4F01028,965.95,20
357,MID150BEES,INF204KB1V68,231.04,6
358,SANDUMA,INE149K01016,207.98,21.74
359,STYL,INE04VU01023,319.75,20
360,JCHAC,INE782A01015,1753.7,20
361,PGHH,INE179A01014,13029,20
362,SANSERA,INE953O01021,1594.6,20
363,544467,INE301O01023,1153.95,20
364,TVSMOTOR,INE494B01023,3486.4,20
365,PNCINFRA,INE195J01029,262.65,20
366,SDBL,INE480C01038,119.54,20
367,GAEL,INE036B01030,115.09,20
368,ITCHOTELS,INE379A01028,209.8,20
369,SRF,INE647A01010,2851.6,20
370,GEOJITFSL,INE007B01023,73.98,20
371,CHALET,INE427F01016,899.9,20
372,BANKINDIA,INE084A01016,147.72,20
373,ZYDUSLIFE,INE010B01027,928,20
374,GABRIEL,INE524A01029,1053.9,22.39
375,CANBK,INE476A01022,147.94,20
376,KARURVYSYA,INE036D01028,248.03,20
377,ADANIENT,INE423A01024,2446.1,15.99
378,GEMAROMA,INE06XZ01023,183.22,20
379,GODFRYPHLP,INE260B01028,2941.4,23.81
380,OILIETF,INF109KC18W3,12.36,20
381,SOBHA,INE671H01015,1556.9,20
382,DATAMATICS,INE365B01017,892.35,20.21
383,PGHL,INE199A01012,5906,20
384,PAYTM,INE982J01020,1283.9,20
385,CDSL,INE736A01011,1640.1,20
386,MUTHOOTFIN,INE414G01012,3697.5,20
387,MAHLIFE,INE813A01018,380.85,20
388,JKTYRE,INE573A01042,450.55,20
389,UBL,INE686F01025,1740.2,20
390,TIPSMUSIC,INE716B01029,501.55,20
391,HNGSNGBEES,INF204KB19I1,513.85,11.78
392,AAVAS,INE216P01012,1635.6,20
393,ENGINERSIN,INE510A01028,198.13,20
394,AFFLE,INE00WC01027,1719,20
395,VAIBHAVGBL,INE884A01027,244.6,20
396,WSTCSTPAPR,INE976A01021,423.05,20
397,COFORGE,INE591G01025,1846.1,20
398,KPRMILL,INE930H01031,1094.7,20
399,LIQUIDSHRI,INF680P01422,1080.08,5
400,TFCILTD,INE305A01023,64.45,20
401,TVSHLTD,INE105A01035,14652,20
402,CYIENTDLM,INE055S01018,444.6,20
403,ONGC,INE213A01029,248.05,10.25
404,HEXT,INE093A01041,724.95,20
405,GODREJCP,INE102D01028,1127.3,20
406,ANGELONE,INE732I01013,2814.3,20
407,ZFCVINDIA,INE342J01019,13047,20
408,HEROMOTOCO,INE158A01026,5999.5,20
409,IONEXCHANG,INE570A01022,356.05,20
410,TRUALT,INE0MWH01014,448.45,20
411,GODREJPROP,INE484J01027,2123.8,20
412,RBA,INE07T201019,62.64,20
413,IGL,INE203G01027,204.06,20
414,GICRE,INE481Y01014,385.1,20
415,APOLLOHOSP,INE437A01024,7423,9
416,IPL,INE0D6701023,176.11,20
417,KEC,INE389H01022,700.7,20
418,SAIL,INE114A01011,138.19,20
419,SPIC,INE147A01011,88.06,20
420,LICHSGFIN,INE115A01026,554.8,20
421,INDIGO,INE646L01027,5785.5,10.58
422,TATASTEEL,INE081A01020,172.46,10.87
423,NSIL,INE023A01030,6898.5,20
424,SGBMAY29I,IN0020210053,12852.9,10
425,IDBI,INE008A01015,102.8,20
426,SGBJAN26,IN0020170166,13080,10
427,ZENSARTECH,INE520A01027,719.6,20
428,AXISGOLD,INF846K01W80,102.03,20
429,FIEMIND,INE737H01014,2280.8,20
430,MEDPLUS,INE804L01022,781.35,20
431,CARYSIL,INE482D01024,1011.65,20
432,YATHARTH,INE0JO301016,771.55,20
433,SHK,INE500L01026,177.69,20
434,BEML,INE258A01024,1965.8,20
435,NUVOCO,INE118D01016,360.75,20
436,CUB,INE491A01021,265.44,20
437,FIVESTAR,INE128S01021,593.5,20
438,RVNL,INE415G01027,319.1,20
439,BAJAJFINSV,INE918I01026,2095.6,9.48
440,NEULANDLAB,INE794A01010,16719,21.13
441,GPPL,INE517F01014,177.31,20
442,SUNDARMFIN,INE660A01013,4661.5,20
443,RBLBANK,INE976G01028,313.65,20
444,FINOPB,INE02NC01014,281.95,20
445,OLECTRA,INE260D01016,1384.2,20
446,HONASA,INE0J5401028,290.25,20
447,MINDACORP,INE842C01021,601.95,20
448,VINATIORGA,INE410B01037,1621.1,20
449,RELIANCE,INE002A01018,1549.1,9
450,ANURAS,INE930P01018,1179.2,20
451,SIGNATURE,INE903U01023,1124.8,20
452,DEEPAKFERT,INE501A01019,1446.4,20
453,HAPPSTMNDS,INE419U01012,500.2,20
454,SFL,INE916U01025,613.5,20
455,WELSPUNLIV,INE192B01031,140.38,20
456,KOTAKBANK,INE237A01028,2098.7,9
457,INFY,INE009A01021,1536.5,9.66
458,LIQUID,INF769K01KS1,999.99,5
459,DHANUKA,INE435G01025,1209.2,20
460,HDFCLIQUID,INF179KC1JG3,1036.83,5
461,SHAREINDIA,INE932X01026,169.78,20
462,LATENTVIEW,INE0I7C01011,493.05,20
463,VARROC,INE665L01035,668.85,20
464,KANSAINER,INE531A01024,239.78,20
465,VIKRAMSOLR,INE078V01014,300.65,20
466,SERVOTECH,INE782X01033,97.52,20
467,SBIN,INE062A01020,981.55,9
468,ENTERO,INE010601016,1070.3,20
469,DELTACORP,INE124G01033,70.22,20
470,LINDEINDIA,INE473A01011,6125.5,20
471,PRESTIGE,INE811K01011,1717.2,20
472,GRASIM,INE047A01021,2748.6,9
473,NHPC,INE848E01016,80.12,20
474,TECHM,INE669C01036,1456,9.64
475,SGBDEC2513,IN0020170158,13200,10
476,REDINGTON,INE891D01026,295.05,20
477,ALKEM,INE540L01014,5700,20
478,NTPC,INE733E01010,326.6,9.09
479,MBEL,INE08N601015,394.8,20
480,JIOFIN,INE758E01017,308.35,11.41
481,PIDILITIND,INE318A01026,1489,20
482,HERITGFOOD,INE978A01027,470.05,20
483,RENUKA,INE087H01022,28.24,20
484,LICI,INE0J1Y01017,908.3,20
485,PPLPHARMA,INE0DK501011,189.64,20
486,JINDALSAW,INE324A01032,166.63,20
487,JBCHEPHARM,INE572A01036,1748.4,20
488,SUNFLAG,INE947A01014,244.5,20
489,UNITDSPR,INE854D01024,1416.2,20
490,BLACKBUCK,INE0UIZ01018,653.15,20
491,SGBNOV26,IN0020180314,13200,10
492,SGBSEP28VI,IN0020200195,12748,10
493,RELAXO,INE131B01039,414.25,20
494,SGBDEC25,IN0020170125,12932.33,10
495,JAMNAAUTO,INE039C01032,109.94,20
496,BAJAJHFL,INE377Y01014,106.41,20
497,CMSINFO,INE925R01014,357.2,20
498,ARVINDFASN,INE955V01021,506.6,20
499,SBICARD,INE018E01016,874.1,20
500,WEWORK,INE085001019,623.15,20
501,JINDRILL,INE742C01031,589.95,20
502,TEGA,INE011K01018,1925.3,20
503,LOWVOLIETF,INF109KC19U5,23.14,6
504,PHOENIXLTD,INE211B01039,1715.7,20
505,AUROPHARMA,INE406A01037,1207.7,20
506,MODEFENCE,INF247L01DJ0,91.1,20
507,CERA,INE739E01017,5682,20
508,BBETF0432,INF754K01OB1,1308.29,20
509,VPRPL,INE0AE001013,84.15,20
510,GATEWAY,INE079J01017,60.44,20
511,ALIVUS,INE03Q201024,909.9,20
512,TBOTEK,INE673O01025,1678,20
513,AVANTEL,INE005B01027,159.33,20.02
514,HINDUNILVR,INE030A01027,2428.4,9
515,LUPIN,INE326A01037,2030.8,20
516,TIRUMALCHM,INE338A01024,249,20
517,ITBEES,INF204KB15V2,40.61,20
518,ALPL30IETF,INF109KC17V7,27.93,6
519,VRLLOG,INE366I01010,272.75,20
520,SETFGOLD,INF200KA16D8,104.75,20
521,AURIONPRO,INE132H01018,1105.1,20
522,MIDCAPETF,INF769K01IC9,22.85,6.19
523,SUDARSCHEM,INE659A01023,1033.5,20
524,KSB,INE999A01023,721.35,20
525,LAURUSLABS,INE947Q01028,987.1,20
526,SUPREMEIND,INE195A01028,3568.7,20
527,LTIM,INE214T01019,6027,20
528,SYMPHONY,INE225D01027,868.35,20
529,SGBOCT26,IN0020180249,13199.99,10
530,HINDOILEXP,INE345A01011,138.65,20
531,MON100,INF247L01AP3,236.43,8.71
532,VIPIND,INE054A01027,382.65,20
533,SUPRIYA,INE07RO01027,772.75,20
534,PTC,INE877F01012,163.29,20
535,HDFCAMC,INE127D01025,5399,20
536,JUSTDIAL,INE599M01018,764.95,20
537,GOLD1,INF174KA1HJ8,102.3,20
538,MOSCHIP,INE935B01025,216.7,23.82
539,ACE,INE731H01025,966.3,20
540,PTCIL,INE596F01018,17153,20
541,THOMASCOOK,INE332A01027,159.43,20
542,SGBJ28VIII,IN0020190537,12750,10
543,LIQUIDETF,INF740KA1EU7,1000,5
544,UJJIVANSFB,INE551W01018,54.03,20
545,GOLDIAM,INE025B01025,389.1,23.25
546,KALYANKJIL,INE303R01014,504.1,20
547,SYRMA,INE0DYJ01015,871.85,20
548,BELRISE,INE894V01022,164.01,20
549,BALRAMCHIN,INE119A01028,457.45,20
550,PATELENG,INE244B01030,34.68,20
551,TATAELXSI,INE670A01012,5366.5,20
552,PROTEAN,INE004A01022,840.25,20
553,SGBMAR31IV,IN0020220169,13620.64,10
554,DBL,INE917M01012,437.15,20
555,SGBJAN30IX,IN0020210236,12971,10
556,MOSMALL250,INF247L01CH6,17.03,6.34
